,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-01-31,9.60375774037324,6.818923075573084,0.7853003566147563,0.6201467847799534,2.2829099564855597,0.8552974853144246,1980-01-31,2002-10-31,2003-01-31
2003-04-30,10.768814212807968,13.027826080159926,0.7895681972976594,0.6276975798343205,2.4494571612453737,0.9262677482607207,1980-04-30,2003-01-31,2003-04-30
2003-07-31,4.893250129598728,-0.5469444318278631,0.7909200514654151,0.6300893218234267,2.561587148780601,-4.443739174760063,1980-07-31,2003-04-30,2003-07-31
2003-10-31,1.5738974455039119,-8.744923150045162,0.8066902348664978,0.6579904155330346,2.6627182423873386,-88.81467623988021,1980-10-31,2003-07-31,2003-10-31
2004-01-31,2.76235096237441,-14.334682044106842,0.7945051329844697,0.6364321583571386,2.7734243098977194,-2383874.8849856453,1981-01-31,2003-10-31,2004-01-31
2004-04-30,0.0008730507591489869,-0.018172915332216988,0.7674643205629512,0.5885907209959906,2.9372727521857533,0.9999579296939783,1981-04-30,2004-01-31,2004-04-30
2004-07-31,1.8399983934329407,3.400382261455462,0.7761054975993886,0.603878957291226,3.1290258190835267,-0.46534061864129983,1981-07-31,2004-04-30,2004-07-31
2004-10-31,2.959320723851884,-4.739593042573446,0.772838498654195,0.5980988822343449,3.2576472527641314,-665.001428030334,1981-10-31,2004-07-31,2004-10-31
2005-01-31,0.4891401672498335,0.10271146220094263,0.782687844681849,0.6155246482832715,3.3425403292471576,0.9816594060446889,1982-01-31,2004-10-31,2005-01-31
2005-04-30,1.4819166908503267,12.399233935643867,0.7932537249564299,0.6342181287690682,3.3472967561847864,-33.252888322174705,1982-04-30,2005-01-31,2005-04-30
2005-07-31,0.25141379850273304,10.76367082341901,0.7912534574728843,0.6306791939904877,3.311063815240405,-10.804522874833692,1982-07-31,2005-04-30,2005-07-31
2005-10-31,-3.2968281997416007,1.244325668490907,0.7818217936870984,0.6139924042156355,3.095975123751305,0.4953970933054761,1982-10-31,2005-07-31,2005-10-31
2006-01-31,-2.26300823847476,0.7797248322360053,0.7656711692678669,0.5854182225508415,2.913601850931316,0.6545089506257691,1983-01-31,2005-10-31,2006-01-31
2006-04-30,-3.33292582128138,-4.9391982814006825,0.7630249707415051,0.580736486696509,2.7313529955411644,0.9298415306407503,1983-04-30,2006-01-31,2006-04-30
2006-07-31,-2.6389109285470127,-7.99493257263494,0.7669310256406994,0.5876471992104682,2.614249771133939,-0.03954495158981408,1983-07-31,2006-04-30,2006-07-31
2006-10-31,-0.3333401614585584,-12.271539702262231,0.7651527334756227,0.5845009899953326,2.630734941399343,-15.221808130032326,1983-10-31,2006-07-31,2006-10-31
2007-01-31,-1.3944434999774828,-8.007147734976828,0.7517737626682754,0.5608305031823335,2.6170533927988844,-1.7173481028914845,1984-01-31,2006-10-31,2007-01-31
2007-04-30,1.5957339479123096,-7.115201562049845,0.7691573214950357,0.5915860303373708,2.7070155294728697,-60.444266518129275,1984-04-30,2007-01-31,2007-04-30
2007-07-31,1.2287087945295414,-4.717752002298037,0.7892744941753205,0.6271779512332594,2.7439847588145336,-14.400458519969838,1984-07-31,2007-04-30,2007-07-31
2007-10-31,1.4474325873474505,10.769685504952175,0.7874055984640395,0.6238714434363775,2.740603748151141,-50.96725068910079,1984-10-31,2007-07-31,2007-10-31
2008-01-31,8.558025024894299,25.88096264960094,0.791115658856042,0.6304353964376127,2.7894379575794788,-8.017874338988516,1985-01-31,2007-10-31,2008-01-31
2008-04-30,6.032859232914388,10.612726066560137,0.7584667008818959,0.5726718554064313,2.769421385963898,-0.9694955739855398,1985-04-30,2008-01-31,2008-04-30
2008-07-31,5.637971983678101,21.057184959316317,0.7495845087447917,0.5569572077792468,2.7103410634017435,-26.739061508441992,1985-07-31,2008-04-30,2008-07-31
2008-10-31,8.094591742823582,-7.4953352207965995,0.7378091630906423,0.5361239039295979,2.700173152164751,-7.352161327878649,1985-10-31,2008-07-31,2008-10-31
2009-01-31,5.823457823171928,14.085707739341,0.7283340570605774,0.5193602547994831,2.652252186487414,-5.788093961350555,1986-01-31,2008-10-31,2009-01-31
