,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2005-10-31,-3.062335179733969,-52.94364310956221,0.711274678775249,0.6760642737478403,2.7542582387325925,-72.542476423605,1982-08-31,2005-07-31,2005-10-31
2005-11-30,-1.6925930795788215,3.863235322343518,0.7088167694447234,0.6733066193770068,2.7211184824891204,-0.5844909037730222,1982-09-30,2005-08-31,2005-11-30
2005-12-31,-1.896292191293072,-1.3811516225864482,0.6986056440338415,0.6618502347696757,2.671379042547294,0.9872807403910733,1982-10-31,2005-09-30,2005-12-31
2006-01-31,-2.0382811545251656,39.22330431831563,0.6946087098436494,0.6573658695806799,2.622290067051992,-77.38149182794348,1982-11-30,2005-10-31,2006-01-31
2006-02-28,-1.5160207073691483,31.99429218187651,0.689586451132365,0.6517311402948486,2.5733287883040474,-66.15038510885478,1982-12-31,2005-11-30,2006-02-28
2006-03-31,-1.493808537230645,28.363273968267315,0.682093857037052,0.6433248152123023,2.524515556242577,-54.208355857003994,1983-01-31,2005-12-31,2006-03-31
2006-04-30,-2.6221794167355177,22.986222534113672,0.6743706844943225,0.6346597923594837,2.4746594273808964,-24.244289495653444,1983-02-28,2006-01-31,2006-04-30
2006-05-31,-3.6134493768390423,24.263724225114075,0.6725442643169832,0.6326106380141763,2.4269281017247373,-20.299495651339047,1983-03-31,2006-02-28,2006-05-31
2006-06-30,-4.019466632768727,-0.9105773839135182,0.667755743457954,0.6272381511967289,2.3730425639005976,0.763480049738098,1983-04-30,2006-03-31,2006-06-30
2006-07-31,-2.0277609781721453,3.6686995914862295,0.667387525757057,0.6268250288981614,2.3438475889744526,-0.6979607793258182,1983-05-31,2006-04-30,2006-07-31
2006-08-31,-2.4152225730917505,-0.8383649641795363,0.6672512878124388,0.6266721765700533,2.316429028217285,0.888939547807816,1983-06-30,2006-05-31,2006-08-31
2006-09-30,-1.0596487092842666,5.526076418857852,0.6665429595858133,0.6258774668523759,2.304029446885332,-2.833348738573991,1983-07-31,2006-06-30,2006-09-30
2006-10-31,-0.3015014294175993,33.63271977849824,0.66869688051469,0.6282940610652619,2.3050193498436418,-168.49363358801065,1983-08-31,2006-07-31,2006-10-31
2006-11-30,-0.2309569229004021,-40.647475876555376,0.6677698290393881,0.6272539545319964,2.2998022360570065,-254.04462546184627,1983-09-30,2006-08-31,2006-11-30
2006-12-31,-1.0830996914530462,2.3058060170307484,0.6693007247756273,0.628971544870216,2.2963160203485726,-0.005624239387347796,1983-10-31,2006-09-30,2006-12-31
2007-01-31,-1.0187044440245436,59.62844787695012,0.6710146769430425,0.630894515594633,2.294415196353177,-334.0785202343876,1983-11-30,2006-10-31,2007-01-31
2007-02-28,0.1954441004821728,43.54666639125552,0.6657988539910666,0.625042616672904,2.3014544910527066,-422.7226451538377,1983-12-31,2006-11-30,2007-02-28
2007-03-31,0.8326775586901237,-9.7522721266951,0.6667110441105024,0.626066049489832,2.318806227740225,-49.72998938058786,1984-01-31,2006-12-31,2007-03-31
2007-04-30,1.1415366164499376,2.9319325339004387,0.6726040749526941,0.632677742629852,2.3411884531916516,-1.227346127384616,1984-02-29,2007-01-31,2007-04-30
2007-05-31,0.4221131621460553,53.87838132883809,0.6697679858536161,0.629495789006496,2.3670138794917994,-754.4442168939026,1984-03-31,2007-02-28,2007-05-31
2007-06-30,0.4641998273052978,-6.282766116794345,0.6737970427000886,0.6340161942488798,2.3943346263916867,-11.219171332094513,1984-04-30,2007-03-31,2007-06-30
2007-07-31,0.9015993084359588,-62.966752185309296,0.6708001170927039,0.6306537899088873,2.4032737291127066,-1807.9220273538126,1984-05-31,2007-04-30,2007-07-31
2007-08-31,1.1850669385343682,-0.40195651214641426,0.6714656303802753,0.6314004633534795,2.4112965859433135,-0.6750318293132225,1984-06-30,2007-05-31,2007-08-31
2007-09-30,1.182377068233053,-2.0708233573715558,0.6730997836173741,0.6332339035707124,2.4239480761226635,-5.865600287525139,1984-07-31,2007-06-30,2007-09-30
2007-10-31,1.3780488142795553,-2.552263704804711,0.6711507525154681,0.6310471857490617,2.4236914768775892,-13.12822428838712,1984-08-31,2007-07-31,2007-10-31
2007-11-30,3.6439282837446947,-40.38875245329138,0.6738495621060026,0.634075118460393,2.4264031105863517,-1306.959673331297,1984-09-30,2007-08-31,2007-11-30
2007-12-31,4.493148768604338,39.80099836504772,0.672345985279799,0.6323881786066038,2.429223405089496,-291.65406414304226,1984-10-31,2007-09-30,2007-12-31
2008-01-31,7.335117265477999,3.0225262179478904,0.6712871624753517,0.6312002310699067,2.441757315784672,0.2232840424265543,1984-11-30,2007-10-31,2008-01-31
2008-02-29,7.4903270640128925,-3.0570943099894006,0.6760135842447845,0.6365030457380509,2.4579151559725325,-3.392787860628111,1984-12-31,2007-11-30,2008-02-29
2008-03-31,7.835877813303095,-0.7299369603485499,0.6704487309544421,0.6302595518025448,2.4683093665051707,-1.5467257270862769,1985-01-31,2007-12-31,2008-03-31
2008-04-30,5.5128291167785015,23.364851002079305,0.6648058835646554,0.6239285522920524,2.46345219113311,-33.27303794235974,1985-02-28,2008-01-31,2008-04-30
2008-05-31,5.377633803294128,-3.260253235234229,0.6589030872211645,0.6173059027359407,2.4360280981301514,-7.622756502280762,1985-03-31,2008-02-29,2008-05-31
2008-06-30,5.7014221754611825,-3.0532410943408776,0.6541310622077443,0.6119519234525912,2.408764575410133,-6.069452007191985,1985-04-30,2008-03-31,2008-06-30
2008-07-31,4.804044880782667,18.893057691598834,0.6489970396534852,0.606191800586837,2.391301810435296,-33.09879046036152,1985-05-31,2008-04-30,2008-07-31
2008-08-31,4.5640233445643625,15.05423843665706,0.6457629412498316,0.6025632999388354,2.3708260543419537,-21.877753954132835,1985-06-30,2008-05-31,2008-08-31
2008-09-30,5.602329313674854,-12.561742592286125,0.642537786405956,0.5989448335286336,2.3553725823550136,-30.294889494779632,1985-07-31,2008-06-30,2008-09-30
2008-10-31,6.728048633437606,-20.92240437694761,0.6377826937363997,0.5936098515091314,2.3504872933978387,-38.896979841695014,1985-08-31,2008-07-31,2008-10-31
2008-11-30,6.148390498875616,5.048546815946396,0.6364233248262234,0.5920847059025921,2.341142044341901,0.9165474731135981,1985-09-30,2008-08-31,2008-11-30
2008-12-31,6.872812794581847,7.822539811006734,0.622649303024892,0.5766309253450007,2.3330452325192805,0.956234655644479,1985-10-31,2008-09-30,2008-12-31
2009-01-31,4.104860659682197,3.3715664292350906,0.6134163759723446,0.566272031578728,2.316346018348194,0.8318985202492065,1985-11-30,2008-10-31,2009-01-31
2009-02-28,2.9934467929743818,-1.8996963962844722,0.6173904093857292,0.5707307032132571,2.282954595887416,-46.430447724929515,1985-12-31,2008-11-30,2009-02-28
2009-03-31,3.9202433332255953,-4.641662314529369,0.6112292488283744,0.5638181816123224,2.2475247337131794,-25.1996266875417,1986-01-31,2008-12-31,2009-03-31
2009-04-30,5.304975655094299,34.24982064079375,0.609625558158331,0.562018918909347,2.221321898031857,-87.10716756162655,1986-02-28,2009-01-31,2009-04-30
2009-05-31,6.624108299763218,9.232192282339966,0.607612000380555,0.5597598053050128,2.21669597007201,0.6498325453107106,1986-03-31,2009-02-28,2009-05-31
2009-06-30,5.543498127278523,27.97798170114802,0.6081881886022626,0.5604062603830263,2.20220434535557,-44.0819640850484,1986-04-30,2009-03-31,2009-06-30
2009-07-31,5.2044502516970335,12.959185700441967,0.5993720335361181,0.5505149644551568,2.1821355980177786,-5.583466339525226,1986-05-31,2009-04-30,2009-07-31
2009-08-31,5.0280691477356445,-14.490487193296094,0.594500725443982,0.5450495944005651,2.157135543293778,-45.22203772749806,1986-06-30,2009-05-31,2009-08-31
2009-09-30,4.611124157139545,9.148386118522078,0.5989558501892565,0.5500480270416048,2.1360401623705263,-2.3605303721639155,1986-07-31,2009-06-30,2009-09-30
