,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-01-31,2.7307094860488954,-0.6897562435455156,0.7736520042854675,0.7460485901739391,2.2657973401391787,-53.12883777805523,1980-01-31,2002-12-31,2003-01-31
2003-02-28,2.6429590556921694,-0.08963198972021902,0.7803324692324347,0.7535437459680975,2.3032946978616993,-63.72161224748952,1980-02-29,2003-01-31,2003-02-28
2003-03-31,3.536886655169806,5.5503993871410735,0.7744617887711641,0.7469571288652085,2.4201348943646184,-2.250839053217228,1980-03-31,2003-02-28,2003-03-31
2003-04-30,3.0383203675010084,6.35235912947501,0.7767577761049039,0.7495331146542824,2.4586456646421855,-31.68484812988968,1980-04-30,2003-03-31,2003-04-30
2003-05-31,2.9273283189831742,2.9294823505128877,0.7855711085049418,0.7594212436884713,2.514804269599924,0.9999727349958797,1980-05-31,2003-04-30,2003-05-31
2003-06-30,2.7886993750009137,1.3351333167791282,0.7868848703799146,0.7608952204262456,2.579499886107748,-47.27789305908157,1980-06-30,2003-05-31,2003-06-30
2003-07-31,1.4950342110331059,1.950393700978219,0.787859806019074,0.7619890506555465,2.55918803170455,0.8168950999274553,1980-07-31,2003-06-30,2003-07-31
2003-08-31,1.1916819076329936,3.4016179712733607,0.792159915030667,0.7668135632051385,2.534004653381867,-1.7104757088818046,1980-08-31,2003-07-31,2003-08-31
2003-09-30,0.8782690409590824,3.9837623959045985,0.7967224195320602,0.7719324706945065,2.4096630206254184,-3.1123241267088346,1980-09-30,2003-08-31,2003-09-30
2003-10-31,0.7510838611355585,0.8177735444687698,0.7967312494139993,0.7719423773913163,2.1980972279156705,0.9978759133733397,1980-10-31,2003-09-30,2003-10-31
2003-11-30,1.12733927630743,-1.3750019510980613,0.7964784710105934,0.7716587723533487,2.0377602069415244,-6.554549917077994,1980-11-30,2003-10-31,2003-11-30
2003-12-31,0.7298660148496394,4.929765063957591,0.79528121486678,0.7703155093627289,1.8464509028572713,-13.147972652935941,1980-12-31,2003-11-30,2003-12-31
2004-01-31,0.8750172508116151,2.6893664365079997,0.7976017012145693,0.7729189818504923,1.580263962421452,-5.618500539993073,1981-01-31,2003-12-31,2004-01-31
2004-02-29,0.6451824890667233,2.158972832468944,0.8056674767749946,0.7819683885768232,1.3409501745780237,-3.733724213083679,1981-02-28,2004-01-31,2004-02-29
2004-03-31,0.6817163840174932,2.174399730372325,0.8168633469024782,0.7945296087198536,1.1163889810814553,-10.792634847658526,1981-03-31,2004-02-29,2004-03-31
2004-04-30,0.19676155589622385,0.10488778710508506,0.8123854788668265,0.7895056592164396,0.8571951991709865,0.9806480520631751,1981-04-30,2004-03-31,2004-04-30
2004-05-31,-0.3344705471887983,0.7254504060346403,0.8107625351221672,0.7876847955029194,0.674244723348796,-0.1041034434443644,1981-05-31,2004-04-30,2004-05-31
