,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-01-31,8.096013948712589,7.833809764902613,0.7519445320940612,0.7216938652762638,6.005010775065666,0.984275753248228,1980-01-31,2002-12-31,2003-01-31
2003-02-28,8.320417679572998,6.15880587384615,0.7622777579903011,0.7332872406720451,6.467371897005998,-0.36076493117199804,1980-02-29,2003-01-31,2003-02-28
2003-03-31,10.316963161871124,11.360777908702897,0.7521213273301637,0.7218922209070129,7.052377142108918,0.8977671134126876,1980-03-31,2003-02-28,2003-03-31
2003-04-30,8.970954445900817,18.260173201236615,0.7518220504601569,0.721556446857737,7.4070134833226176,-34.279114115798684,1980-04-30,2003-03-31,2003-04-30
2003-05-31,9.35434719385465,13.989435126834698,0.7561282755856776,0.7263878213888091,7.746233763359593,-7.307734276627439,1980-05-31,2003-04-30,2003-05-31
2003-06-30,8.420090379199207,2.4107252502180483,0.757588220727518,0.7280258086211178,7.956159011324969,-166.7836778590258,1980-06-30,2003-05-31,2003-06-30
2003-07-31,4.432268540759528,8.058891796632627,0.7613359398081294,0.7322305666139988,7.7550483889335045,-0.19124680401130467,1980-07-31,2003-06-30,2003-07-31
2003-08-31,2.564065316532662,16.70843486737706,0.7683053307341585,0.7400498832627145,7.500484638871592,-7.20999896097169,1980-08-31,2003-07-31,2003-08-31
2003-09-30,2.2039525782049973,19.273743355518334,0.7727716544849026,0.745060880641598,7.14382898274758,-10.94054720930944,1980-09-30,2003-08-31,2003-09-30
2003-10-31,1.5672947269748243,-1.376469627617956,0.771737622110508,0.7439007467581309,6.42463679715834,0.6327103364299456,1980-10-31,2003-09-30,2003-10-31
2003-11-30,2.8812769120878747,-9.030343519701116,0.7706806336042923,0.7427148572145719,5.903163093495868,-14.53765544697182,1980-11-30,2003-10-31,2003-11-30
2003-12-31,1.5182660232090492,21.253757374436645,0.7683825084922322,0.7401364729425044,5.222947927859474,-27.378800744673146,1980-12-31,2003-11-30,2003-12-31
2004-01-31,2.355015127640403,15.792008210853107,0.7689415651944574,0.7407637072913424,4.4267531244364005,-41.06632032799031,1981-01-31,2003-12-31,2004-01-31
2004-02-29,1.8176463947175112,7.050649112521461,0.7702458232116818,0.7422270211643258,3.7114223193180704,-6.635627587265172,1981-02-28,2004-01-31,2004-02-29
