,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-01-31,2.7307094860488954,1.7882140344906223,0.8588408056727643,0.7502568100364292,1.0046312703077012,0.7018480988230931,1980-01-31,2002-10-31,2003-01-31
2003-04-30,3.0383203675010084,3.72757375893504,0.8601222988225928,0.7525240671476643,1.047162971221985,0.8801752198766217,1980-04-30,2003-01-31,2003-04-30
2003-07-31,1.495034211033106,0.28934468605258434,0.871902487413736,0.7733659392704559,1.0658593028574674,-6.892277185933141,1980-07-31,2003-04-30,2003-07-31
2003-10-31,0.7510838611355585,-2.5777627254733795,0.8746982240648487,0.7783122425762707,1.0968115849797446,-91.70841315465921,1980-10-31,2003-07-31,2003-10-31
2004-01-31,0.8750172508116151,-3.3612015125640005,0.8618011160921257,0.7554942823168378,1.1320300903506726,-270.6734008313743,1981-01-31,2003-10-31,2004-01-31
2004-04-30,0.19676155589622385,-0.866209137826008,0.8488388619533256,0.7325610634558837,1.1761177764856592,-0.17804318134326014,1981-04-30,2004-01-31,2004-04-30
2004-07-31,0.19104576189999686,0.3856329990414924,0.8595390416305941,0.751492150577205,1.2357417130352806,0.96530643886793,1981-07-31,2004-04-30,2004-07-31
2004-10-31,0.1977840743794773,-1.9256134167710877,0.859485679199345,0.7513977401219182,1.2543126878900923,-3.0392438560906863,1981-10-31,2004-07-31,2004-10-31
2005-01-31,-0.536058107604669,-1.3080643319440726,0.8804432896894917,0.7884765894506391,1.2699983274196407,0.8172829941176845,1982-01-31,2004-10-31,2005-01-31
2005-04-30,-0.35926233816679365,2.3596845663521107,0.8884422071613054,0.8026285203623096,1.258433590473399,-1.8249298560736373,1982-04-30,2005-01-31,2005-04-30
2005-07-31,-0.5965751853114792,2.191665996633061,0.8844594135310372,0.7955820393241427,1.2232252320110253,-1.347540828059128,1982-07-31,2005-04-30,2005-07-31
2005-10-31,-1.4512850641662294,-0.7272692220175172,0.874158062885376,0.7773565727972037,1.1555312872757004,0.9228607760833025,1982-10-31,2005-07-31,2005-10-31
2006-01-31,-0.9710264212704072,-0.5353380332429197,0.8664329407285448,0.7636890489812715,1.0949495169577614,0.9555264853406752,1983-01-31,2005-10-31,2006-01-31
2006-04-30,-1.0183240540550067,-1.5184975285325835,0.8624204001825719,0.7565899387845504,1.0292827991395004,0.9403310818776263,1983-04-30,2006-01-31,2006-04-30
2006-07-31,-0.9783043154446044,-2.591974919807417,0.8681851366142479,0.7667890878559771,0.9844918591478944,0.3241047885134535,1983-07-31,2006-04-30,2006-07-31
2006-10-31,-0.4910868841372221,-3.065674101663734,0.864235347504866,0.7598009994316859,0.9686248493809672,-2.1108639589733134,1983-10-31,2006-07-31,2006-10-31
2007-01-31,-0.5943544355394542,-2.1666946915447776,0.8575898349043147,0.7480435540614799,0.9570792150713026,-0.027132930405294742,1984-01-31,2006-10-31,2007-01-31
2007-04-30,-0.1782480957384036,-2.7385838921967824,0.8655651194014804,0.7621536727872346,0.965011072628378,-4.015387239006354,1984-04-30,2007-01-31,2007-04-30
2007-07-31,0.013466234874428412,-1.4730148101070066,0.8753542354807802,0.7794728781583034,0.9691166783084937,-1.4194721083857607,1984-07-31,2007-04-30,2007-07-31
2007-10-31,0.3738866757140261,1.8202714531032873,0.8735367691145569,0.7762573607411392,0.9620622748389509,-5.047190884698123,1984-10-31,2007-07-31,2007-10-31
2008-01-31,2.629275303593747,6.361302009596356,0.8737083348218417,0.7765609000694123,0.9656058767794333,-4.0321712752547425,1985-01-31,2007-10-31,2008-01-31
2008-04-30,2.262638615005113,3.269701406045557,0.8580148787008194,0.7487955546245266,0.9517426234543889,0.4098306799765574,1985-04-30,2008-01-31,2008-04-30
2008-07-31,1.942572397095777,5.826257706718074,0.8534841202029353,0.7407795972821163,0.9212517539554256,-13.459851887920102,1985-07-31,2008-04-30,2008-07-31
2008-10-31,2.326195770064015,-1.0009298625867498,0.8405427124428366,0.7178832604757879,0.9057360100633625,-4.486312357045331,1985-10-31,2008-07-31,2008-10-31
2009-01-31,1.5080415262167497,4.142828844789319,0.8358902468770285,0.7096519752439736,0.890165439067394,-17.1839552421674,1986-01-31,2008-10-31,2009-01-31
