,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-01-31,9.60375774037324,9.498439731646151,0.7304355260849668,0.6975618097538652,6.869477507159369,0.9985163917738218,1980-01-31,2002-12-31,2003-01-31
2003-02-28,10.103858030700447,7.071839590204803,0.7401091519651024,0.708415146107188,7.534087153607034,-0.3921142230533117,1980-02-29,2003-01-31,2003-02-28
2003-03-31,12.556163823943171,14.651101926873167,0.7283759238373775,0.6952510365004723,8.329494353447112,0.7543335682790184,1980-03-31,2003-02-28,2003-03-31
2003-04-30,10.768814212807968,22.276147430226082,0.7281535867254769,0.6950015851066327,8.805281814317155,-33.345768245328856,1980-04-30,2003-03-31,2003-04-30
2003-05-31,11.800823109872644,16.584940977645022,0.7313909739359785,0.6986337756354881,9.312687173946788,-2.697051789930003,1980-05-31,2003-04-30,2003-05-31
2003-06-30,10.349289129913652,4.953866460556584,0.73266650714303,0.7000648616726679,9.627750660758839,-54.91546789123321,1980-06-30,2003-05-31,2003-06-30
2003-07-31,4.893250129598728,10.17380330319692,0.7367239903403572,0.7046171598940593,9.298937915668073,-0.4365852601040441,1980-07-31,2003-06-30,2003-07-31
2003-08-31,2.304701683412657,19.574041834255993,0.7435669615036855,0.7122946397358423,8.900401650842081,-5.8553511286860305,1980-08-31,2003-07-31,2003-08-31
2003-09-30,2.126934318638468,23.346020725737404,0.7481440515294256,0.7174299114720385,8.479817798792174,-10.156079046986491,1980-09-30,2003-08-31,2003-09-30
2003-10-31,1.573897445503912,-1.0617702220253833,0.746436342907563,0.7155139457011682,7.608148962476489,0.8092192808981454,1980-10-31,2003-09-30,2003-10-31
2003-11-30,3.0718182850121134,-10.190450401530766,0.7442978330598555,0.713114641969594,6.954955016940377,-10.66461148719927,1980-11-30,2003-10-31,2003-11-30
2003-12-31,1.460098864693065,25.10427802516794,0.7408174186172025,0.7092097867412516,6.090579100339638,-25.073324713530596,1980-12-31,2003-11-30,2003-12-31
2004-01-31,2.76235096237441,18.726069175166597,0.7393985296388628,0.7076178625216509,5.111197814182762,-45.191142480236564,1981-01-31,2003-12-31,2004-01-31
