,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-01-31,5.768935906699955,4.973940964153087,0.7589495458687192,0.729553149023441,4.530258953831631,0.5880802478146263,1980-01-31,2002-12-31,2003-01-31
2003-02-28,5.65195411605806,4.203985104404416,0.7689703147464428,0.7407959628862529,4.7501493521391485,-1.5780627545200696,1980-02-29,2003-01-31,2003-02-28
2003-03-31,7.333739301884906,7.109427594125234,0.760626656236879,0.7314347850462544,5.114359218571945,0.9897849495729605,1980-03-31,2003-02-28,2003-03-31
2003-04-30,6.370138696461438,12.433675612882027,0.7598781257622834,0.7305949703674399,5.3154578281464016,-32.05292634814539,1980-04-30,2003-03-31,2003-04-30
2003-05-31,6.297976785320309,9.895385392424261,0.7648941200780995,0.736222671307136,5.469014090050412,-17.832568892198015,1980-05-31,2003-04-30,2003-05-31
2003-06-30,5.8505245031589554,0.3709649898153917,0.7662608180954633,0.7377560398144223,5.591228770765882,-445.58132536995237,1980-06-30,2003-05-31,2003-06-30
2003-07-31,3.359018171543919,5.119713975746487,0.7693876212928465,0.741264160474901,5.4873016142542905,0.3156004334583561,1980-07-31,2003-06-30,2003-07-31
2003-08-31,1.9781540455877191,11.879670851476904,0.7755984922222723,0.748232454688403,5.325763363584831,-7.748506559819582,1980-08-31,2003-07-31,2003-08-31
2003-09-30,1.7470497980566884,13.86530703092757,0.7796167996366401,0.7527407995923279,5.057927492091325,-12.396583584496693,1980-09-30,2003-08-31,2003-09-30
2003-10-31,1.397814971892284,-2.0824913115456702,0.778540156149734,0.7515328581192138,4.575530629666423,-0.1995127356419133,1980-10-31,2003-09-30,2003-10-31
2003-11-30,2.2434416345632417,-7.486482903146947,0.7778321572123887,0.7507385178480459,4.222981202452751,-23.159646194320253,1980-11-30,2003-10-31,2003-11-30
2003-12-31,1.2152507624696718,15.096441052483803,0.7756993721490026,0.7483456370452224,3.779310867093913,-28.308730862292368,1980-12-31,2003-11-30,2003-12-31
