,Ytrue,Ypred,R2,AdjR2,Y_EH,R2OS,InsampleBegin,InsampleEnd,OutsampleAt
2003-03-31,7.333739301884906,1.9825276696138936,0.7149176783455611,0.6801515415584343,1.649950142667094,0.11360288208989477,1980-01-31,2002-12-31,2003-03-31
2003-04-30,6.370138696461438,11.851508065611831,0.71698578175004,0.6824718526951667,1.6848694808045452,-0.36870242300575296,1980-02-29,2003-01-31,2003-04-30
2003-05-31,6.297976785320309,12.048296789971186,0.7139009659852672,0.6790108398859095,1.7102613730060436,-0.571053911253083,1980-03-31,2003-02-28,2003-05-31
2003-06-30,5.8505245031589554,-3.5116379094942873,0.7188169217611451,0.6845263024637237,1.7351403705187098,-4.175252981773232,1980-04-30,2003-03-31,2003-06-30
2003-07-31,3.359018171543919,5.729017394567878,0.7225570481492938,0.6887225418260369,1.7544861799560691,-1.1817231809786972,1980-05-31,2003-04-30,2003-07-31
2003-08-31,1.9781540455877191,17.014998235390937,0.7228902955729746,0.6890964291794348,1.7785588477186436,-5674.618854929601,1980-06-30,2003-05-31,2003-08-31
2003-09-30,1.7470497980566884,15.299853142979885,0.7327543565043002,0.7001634243706782,1.8048538120262105,-54971.093770170824,1980-07-31,2003-06-30,2003-09-30
2003-10-31,1.397814971892284,-9.722924025664694,0.7372078063331382,0.7051599778371794,1.8243857431888828,-678.6496657615618,1980-08-31,2003-07-31,2003-10-31
2003-11-30,2.2434416345632417,-18.305187378915797,0.7470162557390785,0.7161645796096978,1.857842727021121,-2838.841577029267,1980-09-30,2003-08-31,2003-11-30
2003-12-31,1.2152507624696718,21.026874742071517,0.7480984608927278,0.717378761001597,1.8797072255550547,-888.010914576187,1980-10-31,2003-09-30,2003-12-31
2004-01-31,1.693133789150423,19.859886712291384,0.746919332721184,0.7160558367115724,1.9016403116212388,-7590.2855703375535,1980-11-30,2003-10-31,2004-01-31
2004-02-29,1.2829910191436378,1.6357219178634699,0.7501836056593071,0.7197181917153201,1.9098333136370325,0.6833566099425838,1980-12-31,2003-11-30,2004-02-29
2004-03-31,1.6273738715458654,-16.7820434288941,0.768470119109022,0.7402347677808538,1.9196196928923244,-3967.107821841722,1981-01-31,2003-12-31,2004-03-31
2004-04-30,0.18724409868955075,-10.505545103155928,0.762840300535345,0.7339183859664846,1.9506611661509807,-35.76816286351484,1981-02-28,2004-01-31,2004-04-30
2004-05-31,-1.361444947251254,2.347448879368226,0.7586329308736831,0.7291979224436445,1.9780655126372322,-0.23345464843252683,1981-03-31,2004-02-29,2004-05-31
2004-06-30,-1.283696910395984,20.947104745810737,0.7573988031724399,0.7278132913642008,2.006321229139664,-44.65766138975358,1981-04-30,2004-03-31,2004-06-30
2004-07-31,0.4656914460472313,-16.72832517060542,0.7515423094427135,0.7212425910820688,2.0440370527246947,-117.6726041831338,1981-05-31,2004-04-30,2004-07-31
2004-08-31,1.5904031712896582,25.523291006364698,0.7465082882825675,0.7155946649023928,2.0809508047718914,-2379.2788682950445,1981-06-30,2004-05-31,2004-08-31
2004-09-30,-0.3037696757657193,-28.41915439977627,0.744963765549284,0.713861785738221,2.109592126550613,-134.71979409500247,1981-07-31,2004-06-30,2004-09-30
2004-10-31,0.9123546973945044,-23.340876032528083,0.7425621330092501,0.7111672711811099,2.126976623716794,-397.7098485498008,1981-08-31,2004-07-31,2004-10-31
2004-11-30,0.33256090084872925,37.84800977232083,0.7447110853435956,0.7135782908733024,2.123962873740835,-437.56523064631773,1981-09-30,2004-08-31,2004-11-30
2004-12-31,-0.19865613651280453,-28.00093776001351,0.7423222928892723,0.7108981822660128,2.135197732388664,-140.91018193278,1981-10-31,2004-09-30,2004-12-31
2005-01-31,-0.6663793129355671,33.42171073462378,0.7451897025805273,0.7141152760659575,2.1459058067290924,-145.92193483869337,1981-11-30,2004-10-31,2005-01-31
2005-02-28,-1.858067148152468,3.0713427803166007,0.7488357629438224,0.7182059779369714,2.1457734345787904,-0.5157805026019298,1981-12-31,2004-11-30,2005-02-28
2005-03-31,-2.639043445790916,35.010953147531,0.7557707598073713,0.7259867061253433,2.144710744115959,-60.94299089103492,1982-01-31,2004-12-31,2005-03-31
2005-04-30,-0.14327106486228394,33.04829311478086,0.7558044858029267,0.726024545047186,2.1447668731396825,-209.44034072591282,1982-02-28,2005-01-31,2005-04-30
2005-05-31,0.4716610481420924,34.861630856191056,0.7594490993475597,0.7301136236582376,2.1459988653811335,-420.86880825479574,1982-03-31,2005-02-28,2005-05-31
2005-06-30,0.2627554046032602,39.817234648614296,0.7753957018688515,0.7480049338040773,2.1519147812265103,-437.3834457574681,1982-04-30,2005-03-31,2005-06-30
2005-07-31,-0.6390895482314384,32.02551966698746,0.7759461373760012,0.7486224955925866,2.141358832757473,-137.0146727772052,1982-05-31,2005-04-30,2005-07-31
2005-08-31,-1.3205323928552388,1.8949545757271191,0.772881947759001,0.7451846243149767,2.108924784113588,0.12089097379628089,1982-06-30,2005-05-31,2005-08-31
2005-09-30,-1.7872000933226446,27.808332480618052,0.7648321067349068,0.7361530953611148,2.0690174665340715,-57.90189446335778,1982-07-31,2005-06-30,2005-09-30
2005-10-31,-2.4983792262640825,-33.77482967914865,0.758941248383719,0.7295438396500262,2.0290956425579196,-46.72245994139186,1982-08-31,2005-07-31,2005-10-31
2005-11-30,-1.5998196553886468,2.1801988028826185,0.7547718869195494,0.7248660194707139,1.9974629775664277,-0.1041770573176235,1982-09-30,2005-08-31,2005-11-30
2005-12-31,-1.698818204538326,-1.146926066569226,0.7455265103790414,0.7144931579862415,1.958704845184421,0.9772315078027284,1982-10-31,2005-09-30,2005-12-31
2006-01-31,-1.646872811016694,24.218913971461426,0.7412787739818221,0.7097274049552149,1.9205954027985408,-51.56917507687715,1982-11-30,2005-10-31,2006-01-31
2006-02-28,-1.2507018572097843,19.653909483521147,0.7378841633103612,0.7059188173726003,1.8845093313256511,-43.45806888610289,1982-12-31,2005-11-30,2006-02-28
2006-03-31,-1.167100670485688,17.32939256767393,0.7314979740523813,0.6987538245465741,1.8490422332191414,-36.60754356750925,1983-01-31,2005-12-31,2006-03-31
2006-04-30,-1.7978926687244268,14.024976198205625,0.7245598570876884,0.6909695957569186,1.811828794309567,-18.21423394715648,1983-02-28,2006-01-31,2006-04-30
2006-05-31,-2.5106118123908026,14.624371682379836,0.7227680461568684,0.6889592712979499,1.7765223643145356,-14.974719044182596,1983-03-31,2006-02-28,2006-05-31
2006-06-30,-2.8036883966380066,-0.8741742784737565,0.7184716891758669,0.6841389683436555,1.7353154911725241,0.8192930683383656,1983-04-30,2006-03-31,2006-06-30
2006-07-31,-1.5628049038070817,2.242571821926041,0.7175427356590321,0.6830967278125726,1.710227684967396,-0.35174464039998843,1983-05-31,2006-04-30,2006-07-31
2006-08-31,-1.7610832595742476,-0.8453624491134372,0.7173538418618518,0.6828847981864679,1.691071362140706,0.9296367827046976,1983-06-30,2006-05-31,2006-08-31
2006-09-30,-0.8643036912387312,3.2969447455252534,0.716763485784127,0.682222447465118,1.6779782893954374,-1.6791674089393354,1983-07-31,2006-06-30,2006-09-30
2006-10-31,-0.4295005310387172,20.198779120040072,0.7168963178935617,0.6823714786122888,1.6706608601225843,-95.47630908644535,1983-08-31,2006-07-31,2006-10-31
2006-11-30,-0.4508265095738193,-25.134087299375125,0.715856688085942,0.6812050646817887,1.6671466037744846,-134.82014138608304,1983-09-30,2006-08-31,2006-11-30
2006-12-31,-0.8725892524424461,1.411185971565539,0.7172605889236099,0.6827801729386842,1.6641776150568746,0.1895138446207515,1983-10-31,2006-09-30,2006-12-31
2007-01-31,-0.9359508982100312,36.70155625752107,0.7185046644109636,0.684175964948886,1.658346494806877,-209.47580717194518,1983-11-30,2006-10-31,2007-01-31
2007-02-28,-0.03814072689553028,26.444819260508623,0.7138455205821905,0.6789486328483113,1.6630899795488607,-241.3296878352103,1983-12-31,2006-11-30,2007-02-28
2007-03-31,0.4474113841818457,-6.423091381349552,0.714239905391161,0.6793911133656928,1.6706785953406482,-30.545278624783798,1984-01-31,2006-12-31,2007-03-31
2007-04-30,0.4985645150815988,0.8390583572818757,0.7186338418351559,0.684320895717492,1.683735388056305,0.917461497526609,1984-02-29,2007-01-31,2007-04-30
2007-05-31,0.12177303860335388,32.450798890638914,0.715762449841421,0.6810993339684235,1.6999584204655398,-418.6325849714607,1984-03-31,2007-02-28,2007-05-31
2007-06-30,0.3916331857744579,-4.5048491608470735,0.7182541367608799,0.6838948851463531,1.7174712096480256,-12.639154408908432,1984-04-30,2007-03-31,2007-06-30
2007-07-31,0.5801528741509785,-39.61502822743367,0.7159915366423844,0.6813563581841385,1.726075381870393,-1229.3749487053835,1984-05-31,2007-04-30,2007-07-31
